Analysis Neighborhood,Incident Year-Month,Number of Crimes
Japantown,2022-07,124
Japantown,2022-08,117
Japantown,2022-09,137
Japantown,2022-10,180
Japantown,2022-11,154
Japantown,2022-12,156
Lakeshore,2018-01,140
Lakeshore,2018-02,154
Lakeshore,2018-03,156
Lakeshore,2018-04,123
Lakeshore,2018-05,126
Lakeshore,2018-06,114
Lakeshore,2018-07,113
Lakeshore,2018-08,147
Lakeshore,2018-09,129
Lakeshore,2018-10,132
Lakeshore,2018-11,149
Lakeshore,2018-12,169
Lakeshore,2019-01,142
Lakeshore,2019-02,151
Lakeshore,2019-03,137
Lakeshore,2019-04,144
Lakeshore,2019-05,143
Lakeshore,2019-06,131
Lakeshore,2019-07,167
Lakeshore,2019-08,175
Lakeshore,2019-09,153
Lakeshore,2019-10,160
Lakeshore,2019-11,173
Lakeshore,2019-12,147
Lakeshore,2020-01,143
Lakeshore,2020-02,106
Lakeshore,2020-03,93
Lakeshore,2020-04,81
Lakeshore,2020-05,85
Lakeshore,2020-06,113
Lakeshore,2020-07,98
Lakeshore,2020-08,92
Lakeshore,2020-09,94
Lakeshore,2020-10,92
Lakeshore,2020-11,114
Lakeshore,2020-12,115
Lakeshore,2021-01,115
Lakeshore,2021-02,95
Lakeshore,2021-03,77
Lakeshore,2021-04,102
Lakeshore,2021-05,99
Lakeshore,2021-06,119
Lakeshore,2021-07,115
Lakeshore,2021-08,125
Lakeshore,2021-09,196
Lakeshore,2021-10,142
Lakeshore,2021-11,173
Lakeshore,2021-12,202
Lakeshore,2022-01,185
Lakeshore,2022-02,181
Lakeshore,2022-03,176
Lakeshore,2022-04,164
Lakeshore,2022-05,159
Lakeshore,2022-06,169
Lakeshore,2022-07,168
Lakeshore,2022-08,142
Lakeshore,2022-09,146
Lakeshore,2022-10,117
Lakeshore,2022-11,123
Lakeshore,2022-12,167
Lincoln Park,2018-01,14
Lincoln Park,2018-02,2
Lincoln Park,2018-03,8
Lincoln Park,2018-04,8
Lincoln Park,2018-05,6
Lincoln Park,2018-06,9
Lincoln Park,2018-07,18
Lincoln Park,2018-08,22
Lincoln Park,2018-09,9
Lincoln Park,2018-10,7
Lincoln Park,2018-11,23
Lincoln Park,2018-12,18
Lincoln Park,2019-01,10
Lincoln Park,2019-02,18
Lincoln Park,2019-03,5
Lincoln Park,2019-04,15
Lincoln Park,2019-05,15
Lincoln Park,2019-06,26
Lincoln Park,2019-07,18
Lincoln Park,2019-08,14
Lincoln Park,2019-09,15
Lincoln Park,2019-10,16
Lincoln Park,2019-11,19
Lincoln Park,2019-12,28
Lincoln Park,2020-01,31
Lincoln Park,2020-02,23
Lincoln Park,2020-03,8
Lincoln Park,2020-04,3
Lincoln Park,2020-05,7
Lincoln Park,2020-06,11
Lincoln Park,2020-07,10
Lincoln Park,2020-08,15
Lincoln Park,2020-09,15
Lincoln Park,2020-10,17
Lincoln Park,2020-11,20
Lincoln Park,2020-12,18
Lincoln Park,2021-01,25
Lincoln Park,2021-02,25
Lincoln Park,2021-03,17
Lincoln Park,2021-04,25
Lincoln Park,2021-05,26
Lincoln Park,2021-06,36
Lincoln Park,2021-07,24
Lincoln Park,2021-08,13
Lincoln Park,2021-09,18
Lincoln Park,2021-10,36
Lincoln Park,2021-11,25
Lincoln Park,2021-12,26
Lincoln Park,2022-01,22
Lincoln Park,2022-02,12
Lincoln Park,2022-03,26
Lincoln Park,2022-04,23
Lincoln Park,2022-05,11
Lincoln Park,2022-06,15
Lincoln Park,2022-07,12
Lincoln Park,2022-08,18
Lincoln Park,2022-09,5
Lincoln Park,2022-10,10
Lincoln Park,2022-11,23
Lincoln Park,2022-12,22
Lone Mountain/USF,2018-01,144
Lone Mountain/USF,2018-02,141
Lone Mountain/USF,2018-03,166
Lone Mountain/USF,2018-04,163
Lone Mountain/USF,2018-05,150
Lone Mountain/USF,2018-06,127
Lone Mountain/USF,2018-07,145
Lone Mountain/USF,2018-08,134
Lone Mountain/USF,2018-09,150
Lone Mountain/USF,2018-10,181
Lone Mountain/USF,2018-11,115
Lone Mountain/USF,2018-12,155
Lone Mountain/USF,2019-01,123
Lone Mountain/USF,2019-02,132
Lone Mountain/USF,2019-03,113
Lone Mountain/USF,2019-04,113
Lone Mountain/USF,2019-05,137
Lone Mountain/USF,2019-06,122
Lone Mountain/USF,2019-07,156
Lone Mountain/USF,2019-08,167
Lone Mountain/USF,2019-09,143
Lone Mountain/USF,2019-10,153
Lone Mountain/USF,2019-11,128
Lone Mountain/USF,2019-12,165
Lone Mountain/USF,2020-01,169
Lone Mountain/USF,2020-02,132
Lone Mountain/USF,2020-03,129
Lone Mountain/USF,2020-04,94
Lone Mountain/USF,2020-05,99
Lone Mountain/USF,2020-06,146
Lone Mountain/USF,2020-07,152
Lone Mountain/USF,2020-08,122
Lone Mountain/USF,2020-09,143
Lone Mountain/USF,2020-10,112
Lone Mountain/USF,2020-11,138
Lone Mountain/USF,2020-12,147
Lone Mountain/USF,2021-01,126
Lone Mountain/USF,2021-02,140
Lone Mountain/USF,2021-03,133
Lone Mountain/USF,2021-04,90
Lone Mountain/USF,2021-05,99
Lone Mountain/USF,2021-06,125
Lone Mountain/USF,2021-07,118
Lone Mountain/USF,2021-08,125
Lone Mountain/USF,2021-09,91
Lone Mountain/USF,2021-10,99
Lone Mountain/USF,2021-11,130
Lone Mountain/USF,2021-12,125
Lone Mountain/USF,2022-01,109
Lone Mountain/USF,2022-02,107
Lone Mountain/USF,2022-03,128
Lone Mountain/USF,2022-04,130
Lone Mountain/USF,2022-05,120
Lone Mountain/USF,2022-06,123
Lone Mountain/USF,2022-07,135
Lone Mountain/USF,2022-08,119
Lone Mountain/USF,2022-09,142
Lone Mountain/USF,2022-10,126
Lone Mountain/USF,2022-11,98
Lone Mountain/USF,2022-12,95
Marina,2018-01,269
Marina,2018-02,252
Marina,2018-03,271
Marina,2018-04,219
Marina,2018-05,219
Marina,2018-06,263
Marina,2018-07,271
Marina,2018-08,257
Marina,2018-09,277
Marina,2018-10,279
Marina,2018-11,222
Marina,2018-12,288
Marina,2019-01,284
Marina,2019-02,262
Marina,2019-03,229
Marina,2019-04,281
Marina,2019-05,268
Marina,2019-06,323
Marina,2019-07,309
Marina,2019-08,364
Marina,2019-09,312
Marina,2019-10,391
Marina,2019-11,329
Marina,2019-12,374
Marina,2020-01,350
Marina,2020-02,261
Marina,2020-03,212
Marina,2020-04,216
Marina,2020-05,283
Marina,2020-06,249
Marina,2020-07,320
Marina,2020-08,340
Marina,2020-09,316
Marina,2020-10,261
Marina,2020-11,355
Marina,2020-12,352
Marina,2021-01,384
Marina,2021-02,290
Marina,2021-03,328
Marina,2021-04,351
Marina,2021-05,397
Marina,2021-06,400
Marina,2021-07,364
Marina,2021-08,319
Marina,2021-09,394
Marina,2021-10,383
Marina,2021-11,324
Marina,2021-12,311
Marina,2022-01,313
Marina,2022-02,325
Marina,2022-03,351
Marina,2022-04,306
Marina,2022-05,296
Marina,2022-06,262
Marina,2022-07,364
Marina,2022-08,345
Marina,2022-09,338
Marina,2022-10,312
Marina,2022-11,267
Marina,2022-12,302
McLaren Park,2018-01,9
McLaren Park,2018-02,8
McLaren Park,2018-03,8
McLaren Park,2018-04,19
McLaren Park,2018-05,10
McLaren Park,2018-06,7
McLaren Park,2018-07,7
McLaren Park,2018-08,10
McLaren Park,2018-09,12
McLaren Park,2018-10,6
McLaren Park,2018-11,10
McLaren Park,2018-12,12
McLaren Park,2019-01,12
McLaren Park,2019-02,12
McLaren Park,2019-03,17
McLaren Park,2019-04,12
McLaren Park,2019-05,19
McLaren Park,2019-06,8
McLaren Park,2019-07,4
McLaren Park,2019-08,15
McLaren Park,2019-09,12
McLaren Park,2019-10,18
McLaren Park,2019-11,17
McLaren Park,2019-12,17
McLaren Park,2020-01,9
McLaren Park,2020-02,15
McLaren Park,2020-03,7
McLaren Park,2020-04,11
McLaren Park,2020-05,16
McLaren Park,2020-06,11
McLaren Park,2020-07,7
McLaren Park,2020-08,15
McLaren Park,2020-09,17
McLaren Park,2020-10,14
McLaren Park,2020-11,12
McLaren Park,2020-12,19
McLaren Park,2021-01,18
McLaren Park,2021-02,7
McLaren Park,2021-03,16
McLaren Park,2021-04,12
McLaren Park,2021-05,17
McLaren Park,2021-06,9
McLaren Park,2021-07,11
McLaren Park,2021-08,25
McLaren Park,2021-09,11
McLaren Park,2021-10,21
McLaren Park,2021-11,13
McLaren Park,2021-12,12
McLaren Park,2022-01,16
McLaren Park,2022-02,14
McLaren Park,2022-03,13
McLaren Park,2022-04,10
McLaren Park,2022-05,13
McLaren Park,2022-06,15
McLaren Park,2022-07,15
McLaren Park,2022-08,19
McLaren Park,2022-09,9
McLaren Park,2022-10,21
McLaren Park,2022-11,18
McLaren Park,2022-12,15
Mission,2018-01,1390
Mission,2018-02,1406
Mission,2018-03,1485
Mission,2018-04,1447
Mission,2018-05,1642
Mission,2018-06,1448
Mission,2018-07,1553
Mission,2018-08,1635
Mission,2018-09,1474
Mission,2018-10,1380
Mission,2018-11,1392
Mission,2018-12,1258
Mission,2019-01,1274
Mission,2019-02,1071
Mission,2019-03,1251
Mission,2019-04,1189
Mission,2019-05,1302
Mission,2019-06,1248
Mission,2019-07,1376
Mission,2019-08,1445
Mission,2019-09,1391
Mission,2019-10,1431
Mission,2019-11,1245
Mission,2019-12,1186
Mission,2020-01,1249
Mission,2020-02,1302
Mission,2020-03,1056
Mission,2020-04,870
Mission,2020-05,885
Mission,2020-06,847
Mission,2020-07,874
Mission,2020-08,899
Mission,2020-09,853
Mission,2020-10,837
Mission,2020-11,847
Mission,2020-12,846
Mission,2021-01,923
Mission,2021-02,861
Mission,2021-03,905
Mission,2021-04,824
Mission,2021-05,936
Mission,2021-06,984
Mission,2021-07,1038
Mission,2021-08,1136
Mission,2021-09,986
Mission,2021-10,1112
Mission,2021-11,1113
Mission,2021-12,1112
Mission,2022-01,1043
Mission,2022-02,917
Mission,2022-03,1030
Mission,2022-04,1016
Mission,2022-05,1069
Mission,2022-06,1080
Mission,2022-07,1050
Mission,2022-08,1132
Mission,2022-09,1135
Mission,2022-10,1162
Mission,2022-11,1016
Mission,2022-12,985
Mission Bay,2018-01,257
Mission Bay,2018-02,197
Mission Bay,2018-03,237
Mission Bay,2018-04,236
Mission Bay,2018-05,196
Mission Bay,2018-06,210
Mission Bay,2018-07,258
Mission Bay,2018-08,214
Mission Bay,2018-09,244
Mission Bay,2018-10,212
Mission Bay,2018-11,193
Mission Bay,2018-12,199
Mission Bay,2019-01,245
Mission Bay,2019-02,138
Mission Bay,2019-03,180
Mission Bay,2019-04,165
Mission Bay,2019-05,176
Mission Bay,2019-06,191
Mission Bay,2019-07,208
Mission Bay,2019-08,209
Mission Bay,2019-09,190
Mission Bay,2019-10,205
Mission Bay,2019-11,217
Mission Bay,2019-12,175
Mission Bay,2020-01,188
Mission Bay,2020-02,197
Mission Bay,2020-03,165
Mission Bay,2020-04,131
Mission Bay,2020-05,155
Mission Bay,2020-06,167
Mission Bay,2020-07,201
Mission Bay,2020-08,185
Mission Bay,2020-09,177
Mission Bay,2020-10,218
Mission Bay,2020-11,177
Mission Bay,2020-12,219
Mission Bay,2021-01,257
Mission Bay,2021-02,202
Mission Bay,2021-03,173
Mission Bay,2021-04,171
Mission Bay,2021-05,227
Mission Bay,2021-06,209
Mission Bay,2021-07,182
Mission Bay,2021-08,200
Mission Bay,2021-09,214
Mission Bay,2021-10,228
Mission Bay,2021-11,199
Mission Bay,2021-12,193
Mission Bay,2022-01,172
Mission Bay,2022-02,196
Mission Bay,2022-03,179
Mission Bay,2022-04,204
Mission Bay,2022-05,182
Mission Bay,2022-06,207
Mission Bay,2022-07,190
Mission Bay,2022-08,162
Mission Bay,2022-09,190
Mission Bay,2022-10,154
Mission Bay,2022-11,157
Mission Bay,2022-12,156
Nob Hill,2018-01,332
Nob Hill,2018-02,281
Nob Hill,2018-03,310
Nob Hill,2018-04,345
Nob Hill,2018-05,284
Nob Hill,2018-06,321
Nob Hill,2018-07,376
Nob Hill,2018-08,357
Nob Hill,2018-09,309
Nob Hill,2018-10,306
Nob Hill,2018-11,318
Nob Hill,2018-12,362
Nob Hill,2019-01,336
Nob Hill,2019-02,307
Nob Hill,2019-03,343
Nob Hill,2019-04,345
Nob Hill,2019-05,348
Nob Hill,2019-06,358
Nob Hill,2019-07,432
Nob Hill,2019-08,356
Nob Hill,2019-09,366
Nob Hill,2019-10,393
Nob Hill,2019-11,326
Nob Hill,2019-12,332
Nob Hill,2020-01,378
Nob Hill,2020-02,304
Nob Hill,2020-03,295
Nob Hill,2020-04,306
Nob Hill,2020-05,341
Nob Hill,2020-06,237
Nob Hill,2020-07,254
Nob Hill,2020-08,229
Nob Hill,2020-09,266
Nob Hill,2020-10,300
Nob Hill,2020-11,263
Nob Hill,2020-12,245
Nob Hill,2021-01,330
Nob Hill,2021-02,214
Nob Hill,2021-03,304
Nob Hill,2021-04,279
Nob Hill,2021-05,260
Nob Hill,2021-06,254
Nob Hill,2021-07,295
Nob Hill,2021-08,305
Nob Hill,2021-09,290
Nob Hill,2021-10,364
Nob Hill,2021-11,306
Nob Hill,2021-12,304
Nob Hill,2022-01,311
Nob Hill,2022-02,259
Nob Hill,2022-03,300
Nob Hill,2022-04,262
Nob Hill,2022-05,284
Nob Hill,2022-06,316
Nob Hill,2022-07,269
Nob Hill,2022-08,313
Nob Hill,2022-09,326
Nob Hill,2022-10,333
Nob Hill,2022-11,263
Nob Hill,2022-12,295
Noe Valley,2018-01,111
Noe Valley,2018-02,95
Noe Valley,2018-03,84
Noe Valley,2018-04,107
Noe Valley,2018-05,102
Noe Valley,2018-06,105
Noe Valley,2018-07,117
Noe Valley,2018-08,145
Noe Valley,2018-09,112
Noe Valley,2018-10,92
Noe Valley,2018-11,93
Noe Valley,2018-12,127
Noe Valley,2019-01,90
Noe Valley,2019-02,100
Noe Valley,2019-03,133
Noe Valley,2019-04,96
Noe Valley,2019-05,113
Noe Valley,2019-06,99
Noe Valley,2019-07,117
Noe Valley,2019-08,122
Noe Valley,2019-09,123
Noe Valley,2019-10,79
Noe Valley,2019-11,142
Noe Valley,2019-12,112
Noe Valley,2020-01,117
Noe Valley,2020-02,114
Noe Valley,2020-03,87
Noe Valley,2020-04,130
Noe Valley,2020-05,117
Noe Valley,2020-06,121
Noe Valley,2020-07,118
Noe Valley,2020-08,101
Noe Valley,2020-09,86
Noe Valley,2020-10,127
Noe Valley,2020-11,121
Noe Valley,2020-12,174
Noe Valley,2021-01,151
Noe Valley,2021-02,151
Noe Valley,2021-03,124
Noe Valley,2021-04,91
Noe Valley,2021-05,135
Noe Valley,2021-06,133
Noe Valley,2021-07,157
Noe Valley,2021-08,128
Noe Valley,2021-09,122
Noe Valley,2021-10,111
Noe Valley,2021-11,122
Noe Valley,2021-12,137
Noe Valley,2022-01,150
Noe Valley,2022-02,100
Noe Valley,2022-03,105
Noe Valley,2022-04,121
Noe Valley,2022-05,106
Noe Valley,2022-06,113
Noe Valley,2022-07,140
Noe Valley,2022-08,123
Noe Valley,2022-09,118
Noe Valley,2022-10,152
Noe Valley,2022-11,133
Noe Valley,2022-12,111
North Beach,2018-01,397
North Beach,2018-02,350
North Beach,2018-03,412
North Beach,2018-04,340
North Beach,2018-05,362
North Beach,2018-06,431
North Beach,2018-07,529
North Beach,2018-08,535
North Beach,2018-09,471
North Beach,2018-10,456
North Beach,2018-11,405
North Beach,2018-12,370
North Beach,2019-01,308
North Beach,2019-02,305
North Beach,2019-03,286
North Beach,2019-04,288
North Beach,2019-05,365
North Beach,2019-06,394
North Beach,2019-07,476
North Beach,2019-08,401
North Beach,2019-09,318
North Beach,2019-10,514
North Beach,2019-11,292
North Beach,2019-12,343
North Beach,2020-01,321
North Beach,2020-02,248
North Beach,2020-03,197
North Beach,2020-04,119
North Beach,2020-05,134
North Beach,2020-06,145
North Beach,2020-07,202
North Beach,2020-08,276
North Beach,2020-09,163
North Beach,2020-10,275
North Beach,2020-11,276
North Beach,2020-12,228
North Beach,2021-01,243
North Beach,2021-02,235
North Beach,2021-03,273
North Beach,2021-04,331
North Beach,2021-05,574
North Beach,2021-06,542
North Beach,2021-07,463
North Beach,2021-08,387
North Beach,2021-09,408
North Beach,2021-10,558
North Beach,2021-11,516
North Beach,2021-12,391
North Beach,2022-01,332
North Beach,2022-02,347
North Beach,2022-03,392
North Beach,2022-04,286
North Beach,2022-05,317
North Beach,2022-06,382
North Beach,2022-07,442
North Beach,2022-08,444
North Beach,2022-09,634
North Beach,2022-10,457
North Beach,2022-11,409
North Beach,2022-12,436
Oceanview/Merced/Ingleside,2018-01,161
Oceanview/Merced/Ingleside,2018-02,106
Oceanview/Merced/Ingleside,2018-03,139
Oceanview/Merced/Ingleside,2018-04,125
Oceanview/Merced/Ingleside,2018-05,118
Oceanview/Merced/Ingleside,2018-06,133
Oceanview/Merced/Ingleside,2018-07,133
Oceanview/Merced/Ingleside,2018-08,123
Oceanview/Merced/Ingleside,2018-09,149
Oceanview/Merced/Ingleside,2018-10,145
Oceanview/Merced/Ingleside,2018-11,129
Oceanview/Merced/Ingleside,2018-12,121
Oceanview/Merced/Ingleside,2019-01,127
Oceanview/Merced/Ingleside,2019-02,116
Oceanview/Merced/Ingleside,2019-03,83
Oceanview/Merced/Ingleside,2019-04,115
Oceanview/Merced/Ingleside,2019-05,92
Oceanview/Merced/Ingleside,2019-06,118
Oceanview/Merced/Ingleside,2019-07,105
Oceanview/Merced/Ingleside,2019-08,128
Oceanview/Merced/Ingleside,2019-09,133
Oceanview/Merced/Ingleside,2019-10,118
Oceanview/Merced/Ingleside,2019-11,95
Oceanview/Merced/Ingleside,2019-12,133
Oceanview/Merced/Ingleside,2020-01,107
Oceanview/Merced/Ingleside,2020-02,83
Oceanview/Merced/Ingleside,2020-03,73
Oceanview/Merced/Ingleside,2020-04,73
Oceanview/Merced/Ingleside,2020-05,104
Oceanview/Merced/Ingleside,2020-06,113
Oceanview/Merced/Ingleside,2020-07,118
Oceanview/Merced/Ingleside,2020-08,122
Oceanview/Merced/Ingleside,2020-09,98
Oceanview/Merced/Ingleside,2020-10,100
Oceanview/Merced/Ingleside,2020-11,115
Oceanview/Merced/Ingleside,2020-12,98
Oceanview/Merced/Ingleside,2021-01,145
Oceanview/Merced/Ingleside,2021-02,84
Oceanview/Merced/Ingleside,2021-03,113
Oceanview/Merced/Ingleside,2021-04,126
Oceanview/Merced/Ingleside,2021-05,100
Oceanview/Merced/Ingleside,2021-06,141
Oceanview/Merced/Ingleside,2021-07,136
Oceanview/Merced/Ingleside,2021-08,126
Oceanview/Merced/Ingleside,2021-09,113
Oceanview/Merced/Ingleside,2021-10,123
Oceanview/Merced/Ingleside,2021-11,116
Oceanview/Merced/Ingleside,2021-12,111
Oceanview/Merced/Ingleside,2022-01,136
Oceanview/Merced/Ingleside,2022-02,120
Oceanview/Merced/Ingleside,2022-03,118
Oceanview/Merced/Ingleside,2022-04,113
Oceanview/Merced/Ingleside,2022-05,89
Oceanview/Merced/Ingleside,2022-06,106
Oceanview/Merced/Ingleside,2022-07,148
Oceanview/Merced/Ingleside,2022-08,132
Oceanview/Merced/Ingleside,2022-09,108
Oceanview/Merced/Ingleside,2022-10,109
Oceanview/Merced/Ingleside,2022-11,121
Oceanview/Merced/Ingleside,2022-12,139
Outer Mission,2018-01,190
Outer Mission,2018-02,162
Outer Mission,2018-03,140
Outer Mission,2018-04,136
Outer Mission,2018-05,171
Outer Mission,2018-06,124
Outer Mission,2018-07,201
Outer Mission,2018-08,186
Outer Mission,2018-09,183
Outer Mission,2018-10,162
Outer Mission,2018-11,126
Outer Mission,2018-12,182
Outer Mission,2019-01,144
Outer Mission,2019-02,146
Outer Mission,2019-03,166
Outer Mission,2019-04,170
Outer Mission,2019-05,169
Outer Mission,2019-06,140
Outer Mission,2019-07,163
Outer Mission,2019-08,161
Outer Mission,2019-09,179
Outer Mission,2019-10,183
Outer Mission,2019-11,145
Outer Mission,2019-12,156
Outer Mission,2020-01,131
Outer Mission,2020-02,145
Outer Mission,2020-03,137
Outer Mission,2020-04,119
Outer Mission,2020-05,166
Outer Mission,2020-06,153
Outer Mission,2020-07,183
Outer Mission,2020-08,128
Outer Mission,2020-09,151
Outer Mission,2020-10,153
Outer Mission,2020-11,139
Outer Mission,2020-12,201
Outer Mission,2021-01,174
Outer Mission,2021-02,172
Outer Mission,2021-03,137
Outer Mission,2021-04,118
Outer Mission,2021-05,160
Outer Mission,2021-06,166
Outer Mission,2021-07,158
Outer Mission,2021-08,173
Outer Mission,2021-09,161
Outer Mission,2021-10,157
Outer Mission,2021-11,180
Outer Mission,2021-12,135
Outer Mission,2022-01,137
Outer Mission,2022-02,110
Outer Mission,2022-03,145
Outer Mission,2022-04,125
Outer Mission,2022-05,138
Outer Mission,2022-06,104
Outer Mission,2022-07,144
Outer Mission,2022-08,173
Outer Mission,2022-09,183
Outer Mission,2022-10,151
Outer Mission,2022-11,187
Outer Mission,2022-12,168
Outer Richmond,2018-01,285
Outer Richmond,2018-02,216
Outer Richmond,2018-03,232
Outer Richmond,2018-04,235
Outer Richmond,2018-05,259
Outer Richmond,2018-06,224
Outer Richmond,2018-07,245
Outer Richmond,2018-08,260
Outer Richmond,2018-09,213
Outer Richmond,2018-10,251
Outer Richmond,2018-11,221
Outer Richmond,2018-12,253
Outer Richmond,2019-01,289
Outer Richmond,2019-02,214
Outer Richmond,2019-03,222
Outer Richmond,2019-04,223
Outer Richmond,2019-05,249
Outer Richmond,2019-06,250
Outer Richmond,2019-07,271
Outer Richmond,2019-08,325
Outer Richmond,2019-09,284
Outer Richmond,2019-10,412
Outer Richmond,2019-11,276
Outer Richmond,2019-12,297
Outer Richmond,2020-01,309
Outer Richmond,2020-02,229
Outer Richmond,2020-03,219
Outer Richmond,2020-04,180
Outer Richmond,2020-05,219
Outer Richmond,2020-06,211
Outer Richmond,2020-07,268
Outer Richmond,2020-08,243
Outer Richmond,2020-09,244
Outer Richmond,2020-10,248
Outer Richmond,2020-11,240
Outer Richmond,2020-12,221
Outer Richmond,2021-01,258
Outer Richmond,2021-02,237
Outer Richmond,2021-03,212
Outer Richmond,2021-04,180
Outer Richmond,2021-05,252
Outer Richmond,2021-06,324
Outer Richmond,2021-07,262
Outer Richmond,2021-08,228
Outer Richmond,2021-09,271
Outer Richmond,2021-10,279
Outer Richmond,2021-11,226
Outer Richmond,2021-12,215
Outer Richmond,2022-01,247
Outer Richmond,2022-02,201
Outer Richmond,2022-03,260
Outer Richmond,2022-04,273
Outer Richmond,2022-05,250
Outer Richmond,2022-06,260
Outer Richmond,2022-07,244
Outer Richmond,2022-08,259
Outer Richmond,2022-09,259
Outer Richmond,2022-10,279
Outer Richmond,2022-11,198
Outer Richmond,2022-12,226
Pacific Heights,2018-01,225
Pacific Heights,2018-02,167
Pacific Heights,2018-03,157
Pacific Heights,2018-04,158
Pacific Heights,2018-05,199
Pacific Heights,2018-06,203
Pacific Heights,2018-07,199
Pacific Heights,2018-08,200
Pacific Heights,2018-09,173
Pacific Heights,2018-10,202
Pacific Heights,2018-11,169
Pacific Heights,2018-12,204
Pacific Heights,2019-01,178
Pacific Heights,2019-02,189
Pacific Heights,2019-03,195
Pacific Heights,2019-04,213
Pacific Heights,2019-05,228
Pacific Heights,2019-06,192
Pacific Heights,2019-07,198
Pacific Heights,2019-08,199
Pacific Heights,2019-09,224
Pacific Heights,2019-10,220
Pacific Heights,2019-11,194
Pacific Heights,2019-12,192
Pacific Heights,2020-01,176
Pacific Heights,2020-02,183
Pacific Heights,2020-03,227
Pacific Heights,2020-04,165
Pacific Heights,2020-05,230
Pacific Heights,2020-06,215
Pacific Heights,2020-07,238
Pacific Heights,2020-08,215
Pacific Heights,2020-09,170
Pacific Heights,2020-10,202
Pacific Heights,2020-11,186
Pacific Heights,2020-12,177
Pacific Heights,2021-01,194
Pacific Heights,2021-02,189
Pacific Heights,2021-03,180
Pacific Heights,2021-04,205
Pacific Heights,2021-05,193
Pacific Heights,2021-06,211
Pacific Heights,2021-07,158
Pacific Heights,2021-08,219
Pacific Heights,2021-09,183
Pacific Heights,2021-10,196
Pacific Heights,2021-11,200
Pacific Heights,2021-12,222
Pacific Heights,2022-01,196
Pacific Heights,2022-02,180
Pacific Heights,2022-03,170
Pacific Heights,2022-04,204
Pacific Heights,2022-05,145
Pacific Heights,2022-06,141
Pacific Heights,2022-07,173
Pacific Heights,2022-08,171
Pacific Heights,2022-09,187
Pacific Heights,2022-10,186
Pacific Heights,2022-11,187
Pacific Heights,2022-12,183
Portola,2018-01,162
Portola,2018-02,102
Portola,2018-03,132
Portola,2018-04,124
Portola,2018-05,134
