Neighborhood,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
Noe Valley,1822132.749,1840817.873,1855778.137,1866743.257,1883791.682,1901291.121,1902545.106,1897148.152,1888625.82,1890180.359,1890829.366,1887720.548,1879620.897,1863863.853,1848218.476,1840436.987,1839787.644,1846569.021,1856427.513,1870636.15,1882940.593,1893937.468,1905373.438,1917284.104,1924849.849,1924816.635,1926086.635,1925893.708,1919495.632,1899606.512,1884378.498,1883786.808,1895115.892,1904510.015,1909219.242,1908085.212,1902362.205,1893918.878,1889815.413,1892436.469,1904302.508,1920458.557,1948414.024,1972942.055,1996589.502,2013018.581,2035763.471,2055302.976,2066306.349,2075537.809,2087744.703,2100128.977,2102219.226,2088930.324,2058892.723,2010290.18,1955077.526,1907870.304,1872091.599,1843059.367
North Beach,1187394.12025,1198061.379,1207887.1455,1215556.201,1225045.7705,1231966.24325,1230979.2295,1224854.846,1219449.57375,1218848.09075,1221203.00125,1221015.02,1219500.23325,1213251.69375,1207736.93775,1205026.50475,1204343.2455,1207909.52725,1212228.56525,1216980.5505,1217977.896,1219856.9594999999,1223111.77975,1229446.19575,1232460.84875,1233010.99325,1230295.6430000002,1227366.57375,1222035.7645,1214070.60675,1207220.21125,1204292.71575,1203172.3372499999,1200556.03175,1196971.293,1194336.83925,1189785.6172500001,1181520.49125,1173141.445,1164991.0595,1164302.14025,1166129.97025,1175492.3175,1185088.66125,1195722.108,1206023.30775,1218846.5587499999,1231849.6172500001,1239346.226,1243153.6582499999,1244144.42575,1244810.22,1240368.4155000001,1228508.7480000001,1211058.796,1188182.74025,1162543.79025,1137886.552,1118193.796975,1102681.9275
Oceanview/Merced/Ingleside,1077098.4784,1087642.8333,1097344.128575,1106168.5085,1118290.85265,1129657.94275,1135083.768575,1136617.11185,1136670.183125,1139642.49835,1140080.9357500002,1137334.3436,1131882.73505,1124835.1164,1118708.2510250001,1115100.7259499999,1114537.77375,1117928.334975,1124798.8019,1132769.821775,1140647.79875,1145732.27565,1150505.8005,1153247.0471,1157119.180125,1161163.74455,1167386.455275,1170536.48245,1168205.870275,1159090.504,1153442.734475,1156373.366875,1165877.985075,1173978.249275,1179335.319175,1182468.520575,1183377.6544249998,1182647.148725,1184322.5842249999,1192012.519875,1205537.2302,1222748.06875,1239952.188775,1251426.021375,1254792.571,1254673.9194999998,1257076.7995,1260298.03125,1266639.55175,1276588.29575,1290869.0935,1300976.835,1304653.921,1300605.3029999998,1290338.7282500002,1273146.0217499998,1252724.70125,1234244.489375,1218563.12995,1204960.342625
Outer Mission,981673.86845,991156.113,999435.08205,1006743.92965,1017674.04045,1026700.47695,1029808.23425,1027424.9526,1024414.67865,1025490.9608,1025751.311,1024544.68095,1022577.6923,1019790.09925,1016349.1434500001,1013719.69965,1013005.06905,1015260.8450999999,1020356.0072,1026985.9623499999,1034591.50535,1039409.0248,1044345.04635,1048485.1932999999,1054993.291,1061533.29635,1068705.7665000001,1072180.8825,1069476.2205,1061057.2755,1055937.39195,1058681.3383499999,1067222.884,1073558.0235,1076767.6695,1076264.2955,1074166.3765,1071711.038,1071760.417,1075304.739,1082392.567,1092408.1940000001,1103090.8420000002,1107887.2685,1106531.4315,1103970.4045000002,1105962.084,1108080.9995,1113439.2585,1122727.5035,1136804.3005,1146410.7985,1148777.5515,1143363.2085,1132100.312,1115529.9635,1096647.3169999998,1079523.639,1064433.144,1051771.621
Outer Richmond,1727291.19875,1742596.1935,1753455.0177499999,1762982.5395,1774645.91325,1785346.87075,1780494.7495,1771410.134,1763944.2325,1766062.4467500001,1768349.97125,1764071.7207499999,1755475.6615,1739798.37025,1728846.8450000002,1725182.6285,1730009.333,1740069.7685,1753835.829,1769581.15625,1780845.9405,1789536.682,1798756.1974999998,1809421.69825,1817764.6545,1822382.85125,1829837.437,1832971.7215,1826529.18025,1806818.88125,1795790.0175,1801462.87225,1820865.6002500001,1834826.36075,1845661.8105000001,1854191.117,1861317.16975,1864047.40925,1867382.882,1875092.77175,1892414.09025,1915321.3702500002,1946079.827,1971677.2884999998,1990844.78775,2001333.6369999999,2014275.51625,2025839.12525,2039703.58075,2059037.03025,2084681.7889999999,2102944.39925,2103874.506,2085675.029,2053869.87675,2011029.546,1962720.59825,1921577.88675,1889390.60675,1860071.2315000002
Pacific Heights,1517317.3175,1525183.2825,1531449.7055,1536579.403,1545400.6845,1554025.7225000001,1554484.5265000002,1553229.989,1554426.786,1561245.5150000001,1570110.909,1573023.2835,1572484.0705,1562773.0295000002,1555240.8514999999,1552959.0355,1556335.3335,1561308.9895,1566582.4635,1574148.924,1582115.88,1588722.0945000001,1593505.209,1597488.878,1604746.253,1612228.631,1619408.674,1621260.1475,1617243.138,1607077.7345,1596834.5515,1592250.04,1592777.47,1591610.6275,1588227.802,1583332.637,1577766.8569999998,1571053.858,1567618.666,1567305.9535,1576205.0814999999,1587202.495,1605888.7975,1625053.9105,1644257.6615,1661349.771,1680132.02,1698847.6055,1707782.2725,1710009.229,1715421.4985,1724612.3505000002,1728834.8665,1718994.1354999999,1696029.0474999999,1664076.9675,1626441.939,1598292.4155000001,1579141.521,1565964.6655000001
Portola,951892.4121999999,958601.31175,962805.6448,964476.91085,971373.48925,977899.84245,980602.6331,979506.3606,978985.3113,983029.5083999999,986619.01085,987260.53235,985679.84635,981320.4712,977284.1372,976224.25395,978364.8189999999,983468.5428,989346.24705,997013.67335,1003690.81625,1008579.6298,1014227.7226,1021162.4955,1028989.3565,1034167.1655,1038330.378,1039350.8855,1036587.996,1029011.842,1024562.315,1028524.7925,1037494.666,1044249.494,1047502.5854999999,1048954.8235,1049625.3645,1049391.6515,1052707.4465,1060103.487,1071639.193,1084115.3715,1099286.3824999998,1109537.1785,1115775.8285,1118809.2884999998,1124426.0954999998,1127784.415,1131543.1395,1138884.6845,1152663.878,1164561.0929999999,1171103.6845,1169534.131,1161268.7185,1145824.705,1126946.6060000001,1109772.969,1094734.4394999999,1080113.3
Potrero Hill,938480.9218,943244.195625,949303.1854,951537.28665,954504.422,956168.09815,956565.1157,954333.74925,952544.497725,953570.67925,954624.912725,953398.0946,949514.3595,944091.272925,939360.29525,937874.6305,938774.673675,941655.507525,944365.661625,948386.070925,951401.7998749999,955055.5696,959424.361425,965422.909425,968799.7071,968521.06675,967149.849275,967228.9170250001,966459.4973,963029.36165,958605.49265,957796.560125,958330.59125,958920.440525,959306.5171500001,959585.4630250001,959400.577025,956111.903975,952855.415875,950372.597425,952959.070225,956849.925225,962357.47775,965941.890025,970703.3084000001,975523.251575,982946.019875,988132.00905,994203.5602749999,1001240.39125,1010050.040975,1017352.5808,1017668.3422000001,1011977.2894,1000735.131325,985748.150775,969021.75575,954096.118775,941559.458325,930526.158775
Presidio,1253494.98,1261683.5760000001,1270947.2820000001,1283760.533,1305832.488,1330711.0444999998,1348138.7655,1346569.129,1333553.622,1318845.5720000002,1313269.659,1309144.229,1319014.6115,1324158.5195,1334015.131,1339917.722,1347425.977,1359237.2335,1376373.312,1392198.2689999999,1399003.222,1393628.8199999998,1392106.7255,1398139.1579999998,1413430.2245,1434636.6115,1462104.827,1485780.7585,1499429.4745,1495795.1675,1481844.67,1458818.5720000002,1437820.7615,1414591.3675000002,1375438.564,1318947.4100000001,1264867.7615,1234476.2179999999,1222906.602,1210749.371,1202745.5375,1196988.458,1207957.2680000002,1229265.25,1259127.216,1285649.114,1312925.6645,1333352.159,1343170.3624999998,1340904.2000000002,1339695.4945,1338490.7489999998,1337330.4215,1333423.3805,1318511.6245,1295947.2495,1260317.4995,1230591.9255,1203137.1968,1231277.65715
Presidio Heights,3779557.089,3796242.933,3788262.426,3792546.481,3813766.413,3834509.568,3793172.759,3752793.595,3729810.574,3752006.199,3780696.192,3791217.743,3783111.324,3734037.737,3693811.096,3666398.077,3658214.449,3655447.548,3653233.437,3666629.114,3680914.4,3694370.857,3698889.165,3696972.791,3701881.937,3715833.741,3727873.145,3729309.782,3709458.69,3672456.452,3645891.529,3648533.78,3682034.985,3702069.463,3719160.135,3724135.396,3736921.371,3731616.017,3731657.69,3734834.183,3763524.208,3796535.526,3848456.729,3905386.422,3968558.156,4024715.089,4084662.322,4141071.463,4196599.957,4238075.929,4298927.581,4338605.315,4355107.09,4332085.588,4292251.837,4234078.262,4141225.303,4051150.332,3974511.506,3913837.521
Russian Hill,1610648.325,1621427.417,1630900.23,1636248.7094999999,1643512.3235,1648521.4989999998,1643527.8990000002,1636567.543,1631608.084,1636400.2110000001,1641610.6655000001,1642295.6485,1638580.6625,1625755.9874999998,1613626.1995,1606820.5444999998,1607082.834,1611686.8775,1618706.4675,1628174.0735,1636889.065,1644884.5655,1650409.3080000002,1654109.582,1653816.8035,1650890.1639999999,1647727.121,1643314.1405000002,1634984.8930000002,1621058.571,1609602.79,1605935.06,1607769.1099999999,1606247.2105,1603595.8735000002,1599682.889,1598070.5765,1593982.087,1592539.1124999998,1591276.868,1598462.582,1609405.1195,1631625.7115,1654723.5605000001,1678082.0535,1696671.021,1718090.332,1738158.4870000002,1749020.6955,1752940.4725000001,1755127.2650000001,1758857.066,1754877.5265000002,1738240.6230000001,1711308.5325000002,1675132.5485,1635547.2505,1601608.6515,1576236.6354999999,1555414.591
Seacliff,3364246.557,3368682.511,3358730.537,3350540.409,3359835.578,3374413.198,3366654.954,3363327.657,3363992.08,3384948.787,3400268.158,3400033.603,3383756.924,3339991.901,3297456.089,3273230.408,3271044.881,3279594.879,3283280.089,3295255.496,3311206.193,3326378.713,3343799.496,3361234.751,3380926.211,3392602.347,3401906.249,3406375.838,3391453.433,3354884.045,3331571.905,3336361.246,3367428.226,3383783.369,3404968.279,3424139.194,3444931.244,3454198.311,3468481.0,3489431.462,3524600.206,3567440.961,3634909.818,3694724.247,3745905.558,3782443.587,3816958.997,3840242.204,3870093.993,3921648.55,4004802.927,4058957.988,4088385.893,4075396.212,4035892.217,3959937.797,3865012.278,3780244.161,3713179.362,3663083.98
South of Market,965858.9984,968737.6433,971671.5147,972951.4017,976384.2121,979788.7369,980952.431,979664.8161,979769.0166,981752.1707,984115.6933,984666.4102,982401.2088,977167.3615,971507.6665,968714.5009,968861.865,970867.7083,974315.9235,978696.3623,982485.0948,986448.0902,990747.5024,996190.9752,997055.3089,994121.4051,987485.8565,981913.0703,976281.2731,970437.3265,966160.2537,964409.2489,964476.159,964391.2787,964585.5681,963553.9661,961453.3868,956816.4675,951773.8322,946567.0067,944969.8728,944437.4495,945896.6912,945278.0449,945211.568,946622.9729,952469.0556,959637.4141,965407.9068,968969.218,972799.7494,974792.5978,973046.8374,965419.0553,953810.3174,937965.1017,919909.4416,902213.1147,887619.7034,875124.7639
Sunset /Parkside,1285480.5753333333,1296475.9533333334,1306006.0453333333,1315045.9513333333,1328660.3876666666,1341922.7423333332,1347487.1343333332,1348365.7843333334,1349210.007,1353107.0116666667,1353569.7763333332,1347346.729,1338859.4053333334,1329084.502,1321706.2903333334,1318576.738,1318914.2076666665,1325548.0753333333,1334472.8296666667,1345006.3136666666,1351711.4556666666,1356223.4336666667,1361345.0706666666,1365905.5796666667,1371438.8246666668,1377242.8053333333,1386229.879,1392394.6279999998,1390758.7413333335,1382882.1596666668,1378055.3616666666,1384184.5076666668,1396043.53,1407148.4309999999,1414257.9703333334,1421435.4823333335,1425608.2850000001,1429036.052,1433112.1256666668,1443229.6723333334,1459174.0240000002,1477957.0669999998,1494318.427,1502216.7623333335,1502647.339,1502807.665,1508565.4613333333,1517124.334,1530209.8463333333,1548557.7606666666,1570725.7056666666,1586169.146,1590838.368,1582695.1983333332,1566334.6253333334,1543153.4866666666,1517067.8286666665,1494423.8796666667,1475392.1403333333,1459726.0350000001
Tenderloin,871116.7852333332,874108.2149,878725.4634666666,882622.7648666665,886625.6046666667,888539.1893000001,887199.7751666667,884790.0936666667,884908.4128,887134.864,889199.7704000002,888232.9568666667,884260.6418333333,876525.4332666667,867769.6276666666,862458.6878000001,861111.7801666666,862700.8084666667,866546.2222333333,871732.0435,876787.8134333333,881659.4519333333,885777.4339,889742.1917,889308.1612999999,884199.1346999999,876319.7978333334,869353.0987666667,863613.9847666668,858053.6333333334,854169.0005666666,854172.9264666666,856387.4206666667,857326.0767666666,856254.8489333332,853213.7367666666,849913.7995000001,844543.3976000001,839622.3362666667,834117.0059666667,832998.4715,833707.3725666666,838665.9483333332,842648.1652333332,846338.8603666667,850230.2429666667,857890.0454666667,864922.0636333333,867917.4948666667,867373.1286999999,866555.2872666667,865856.1378,861775.5849666666,853948.8536666665,841982.1703666666,828726.9749666667,814474.9798333334,802369.3042333332,791374.8341666666,781749.0432666666
Twin Peaks,1462009.8598,1472352.7759,1481661.471625,1489482.7973500001,1502324.2227500002,1513976.3988,1516373.422825,1513236.1498250002,1509882.257275,1510172.6474,1508967.236075,1503946.3194249999,1497133.504075,1412400.98122,1406157.26556,1405317.42822,1407651.1549,1413912.3879799999,1421300.5394,1431125.15572,1438981.81824,1444847.50666,1450160.47608,1455361.8384,1459908.8342799998,1462334.1302,1466879.2767,1470225.61454,1468859.0035,1459337.48806,1452180.4161800002,1454150.20622,1462963.00734,1470258.5244,1475627.9492,1479188.0342,1479525.4902,1476599.5366,1476042.8424,1481874.2552,1496102.2354000001,1513770.5752,1531625.8702,1542857.7382,1549752.3906,1556672.3539999998,1569312.2114,1582804.1026,1595357.6656,1608881.5122,1625837.059,1638915.793,1643302.935,1634050.9022,1613893.1438000002,1582651.092,1545747.135,1514586.3124,1490809.9013999999,1472301.14284
Visitacion Valley,805443.174,811325.6591,816348.22955,819598.8857,826377.1301,833043.949,836581.50275,836464.72155,835124.1725,835975.3759999999,836317.0304,835801.69135,833853.129,832183.0124,830581.09305,831486.53255,833049.76645,836929.4611500001,841325.9856499999,846046.2186499999,850444.6148999999,854233.4683000001,859473.3701,864931.9238,871020.77975,877524.9466,884803.0226499999,890537.42195,891685.52975,887326.3376,883494.24385,885588.1099,892075.67675,897263.4343,899513.84195,898834.05585,897516.39475,895903.3542500001,897101.07725,902083.15695,909712.43395,918994.9619,927951.1272,932539.49145,933444.5665,932909.6144,935716.211,937706.1640999999,942679.5964,951639.57805,966091.69695,978141.0758,984883.33115,984789.4232,978784.6471,967175.37295,951860.0547,936885.8842,923277.10345,911100.95935
West of Twin Peaks,1803450.7135833334,1820808.1544166666,1835731.5285833331,1847864.2190833334,1863418.2008333334,1876583.1287500001,1877363.8404166668,1873831.9416666667,1868742.24625,1869488.0207500001,1865935.2979166666,1857389.9424166668,1847480.8639166665,1834459.25125,1825376.56525,1822622.1663333334,1823670.3570833334,1828570.5091666665,1834241.704,1843733.4459166666,1853513.9755,1861641.9334166667,1868626.1000833334,1873795.5551666666,1880770.3465,1889131.1441666668,1902873.6695833334,1911691.351,1910864.11625,1893443.4355,1878673.1891666667,1877583.6729166666,1889589.784083333,1897961.70225,1901416.5638333333,1901540.2791666668,1900808.0421666668,1900676.8889166666,1905426.6274166666,1920121.2994166666,1943672.2810000002,1973422.3970833335,2000349.6273333335,2015379.0859166665,2018551.59975,2022451.9405833334,2034838.5749166666,2050301.2095,2065683.2133333331,2082424.0144166667,2104880.2080833334,2122348.0745833335,2130179.4363333336,2123068.19975,2103897.8193333335,2073643.6476666667,2036500.1601666666,2006568.5798333334,1982816.18325,1963557.4168333334
Western Addition,1028972.4191,1034937.99715,1040905.207725,1046103.6684249999,1054609.3324250001,1060691.618675,1062771.8425,1062089.09455,1063440.7751,1067410.815775,1072801.0950500001,1074763.4177,1073017.9187,1065011.532875,1055879.494325,1051147.7511,1051272.735775,1056699.366675,1064579.9074499998,1074066.198075,1082229.5741,1089173.81355,1094468.1959,1099356.64805,1101977.566675,1102610.7825500001,1102326.533775,1101981.6479250002,1099356.876775,1093367.1101,1086888.408075,1083126.0701000001,1081850.9874500001,1081734.1797,1082847.809675,1083949.17595,1084294.610625,1080712.9718499999,1077682.21765,1074933.4763,1078262.11235,1082365.888425,1090913.374225,1100798.4603249999,1111494.90095,1120801.944125,1132210.976,1143986.03535,1150710.45435,1151220.72375,1150628.922375,1152581.64765,1151514.7817250001,1143241.20445,1126703.287875,1105755.822775,1082914.498625,1064080.12945,1049605.392575,1037987.8980999999
